pref,municipality,name,category,subcategory,designation,designated_date,location,description,source_url,source_format,fetched_at,jmh_id
滋賀県,愛荘町,紙本著色矢取地蔵縁起絵巻,有形文化財,絵画,町指定,2008-03-21,愛荘町立歴史文化博物館寄託,員数1巻、時代:室町前期,https://www.town.aisho.shiga.jp/soshiki/hakubutsukan/1/1/887.html,html,2026-07-12T00:00:00Z,JMH-254258-0012
滋賀県,愛荘町,金剛輪寺宝塔,有形文化財,建造物,町指定,1999-12-24,松尾寺、金剛輪寺,員数1基、時代:鎌倉,https://www.town.aisho.shiga.jp/soshiki/hakubutsukan/1/1/887.html,html,2026-07-12T00:00:00Z,JMH-254258-0003
滋賀県,愛荘町,軽野神社本殿,有形文化財,建造物,町指定,2003-07-10,岩倉、軽野神社,員数1棟、時代:江戸中期,https://www.town.aisho.shiga.jp/soshiki/hakubutsukan/1/1/887.html,html,2026-07-12T00:00:00Z,JMH-254258-0006
滋賀県,愛荘町,軽野神社本殿,有形文化財,建造物,町指定,2003-07-10,蚊野、軽野神社,員数1棟、時代:江戸中期,https://www.town.aisho.shiga.jp/soshiki/hakubutsukan/1/1/887.html,html,2026-07-12T00:00:00Z,JMH-254258-0007
滋賀県,愛荘町,旧愛知郡役所,有形文化財,建造物,町指定,2016-04-14,愛知川,員数1棟、時代:大正,https://www.town.aisho.shiga.jp/soshiki/hakubutsukan/1/1/887.html,html,2026-07-12T00:00:00Z,JMH-254258-0021
滋賀県,愛荘町,木造獅子狛犬,有形文化財,彫刻,町指定,1999-12-24,愛荘町立歴史文化博物館寄託,員数1対、時代:南北朝,https://www.town.aisho.shiga.jp/soshiki/hakubutsukan/1/1/887.html,html,2026-07-12T00:00:00Z,JMH-254258-0001
滋賀県,愛荘町,木造薬師如来坐像,有形文化財,彫刻,町指定,1999-12-24,島川、薬師堂,員数1躯、時代:室町中期,https://www.town.aisho.shiga.jp/soshiki/hakubutsukan/1/1/887.html,html,2026-07-12T00:00:00Z,JMH-254258-0002
滋賀県,愛荘町,木造獅子狛犬,有形文化財,彫刻,町指定,2008-03-21,松尾寺、金剛輪寺,員数1対、時代:鎌倉,https://www.town.aisho.shiga.jp/soshiki/hakubutsukan/1/1/887.html,html,2026-07-12T00:00:00Z,JMH-254258-0009
滋賀県,愛荘町,木造聖観音立像 附 像内納入品,有形文化財,彫刻,町指定,2008-03-21,畑田、廣照寺,員数1躯、時代:鎌倉,https://www.town.aisho.shiga.jp/soshiki/hakubutsukan/1/1/887.html,html,2026-07-12T00:00:00Z,JMH-254258-0010
滋賀県,愛荘町,木造不動明王立像,有形文化財,彫刻,町指定,2012-03-09,松尾寺、金剛輪寺,員数1躯、時代:平安後期,https://www.town.aisho.shiga.jp/soshiki/hakubutsukan/1/1/887.html,html,2026-07-12T00:00:00Z,JMH-254258-0014
滋賀県,愛荘町,木造聖観音立像,有形文化財,彫刻,町指定,2012-03-09,松尾寺、金剛輪寺,員数1躯、時代:平安,https://www.town.aisho.shiga.jp/soshiki/hakubutsukan/1/1/887.html,html,2026-07-12T00:00:00Z,JMH-254258-0017
滋賀県,愛荘町,木造毘沙門天立像,有形文化財,彫刻,町指定,2012-03-09,松尾寺、金剛輪寺,員数1躯、時代:平安後期,https://www.town.aisho.shiga.jp/soshiki/hakubutsukan/1/1/887.html,html,2026-07-12T00:00:00Z,JMH-254258-0016
滋賀県,愛荘町,木造地蔵菩薩坐像,有形文化財,彫刻,町指定,2012-03-09,松尾寺、金剛輪寺,員数1躯、時代:鎌倉後期,https://www.town.aisho.shiga.jp/soshiki/hakubutsukan/1/1/887.html,html,2026-07-12T00:00:00Z,JMH-254258-0015
滋賀県,愛荘町,銅造千手観音像鏡像,有形文化財,工芸品,町指定,1999-12-24,愛荘町立歴史文化博物館寄託,員数1面、時代:平安後期,https://www.town.aisho.shiga.jp/soshiki/hakubutsukan/1/1/887.html,html,2026-07-12T00:00:00Z,JMH-254258-0004
滋賀県,愛荘町,漆塗太鼓形酒筒,有形文化財,工芸品,町指定,2012-03-09,松尾寺、金剛輪寺,員数1口、時代:室町,https://www.town.aisho.shiga.jp/soshiki/hakubutsukan/1/1/887.html,html,2026-07-12T00:00:00Z,JMH-254258-0018
滋賀県,愛荘町,金銅瓶鎮柄香炉,有形文化財,美術工芸品,町指定,2003-07-10,愛荘町立歴史文化博物館寄託,員数1柄、時代:平安後期,https://www.town.aisho.shiga.jp/soshiki/hakubutsukan/1/1/887.html,html,2026-07-12T00:00:00Z,JMH-254258-0008
滋賀県,愛荘町,紙本著色熊野観心十界曼荼羅図,民俗文化財,有形民俗,町指定,2008-03-21,愛知川、寶満寺,員数1幅、時代:江戸,https://www.town.aisho.shiga.jp/soshiki/hakubutsukan/1/1/887.html,html,2026-07-12T00:00:00Z,JMH-254258-0011
滋賀県,愛荘町,豊満神社への道標,民俗文化財,有形民俗,町指定,2015-01-26,沓掛,員数1基、時代:江戸,https://www.town.aisho.shiga.jp/soshiki/hakubutsukan/1/1/887.html,html,2026-07-12T00:00:00Z,JMH-254258-0020
滋賀県,愛荘町,目賀田城跡,記念物(史跡・名勝・天然記念物),史跡,町指定,2003-07-10,目加田,"員数1,818平方メートル、時代:室町後期",https://www.town.aisho.shiga.jp/soshiki/hakubutsukan/1/1/887.html,html,2026-07-12T00:00:00Z,JMH-254258-0005
滋賀県,愛荘町,壬申地券地引絵図（地券取調総絵図）,有形文化財,古文書,町指定,2012-03-09,愛荘町立歴史文化博物館保管,員数50舗、時代:明治初期,https://www.town.aisho.shiga.jp/soshiki/hakubutsukan/1/1/887.html,html,2026-07-12T00:00:00Z,JMH-254258-0013
滋賀県,愛荘町,愛智河架橋絵巻,有形文化財,歴史資料,町指定,2015-01-26,愛荘町立歴史文化博物館,員数1巻、時代:江戸,https://www.town.aisho.shiga.jp/soshiki/hakubutsukan/1/1/887.html,html,2026-07-12T00:00:00Z,JMH-254258-0019
滋賀県,愛荘町,『近江愛智郡志』写真ガラス原板,有形文化財,歴史資料,町指定,2018-02-27,愛荘町立歴史文化博物館,員数393枚、時代:昭和,https://www.town.aisho.shiga.jp/soshiki/hakubutsukan/1/1/887.html,html,2026-07-12T00:00:00Z,JMH-254258-0022
滋賀県,東近江市,一弧素面宝篋印塔,有形文化財,建造物,市指定,1969-04-01,善勝寺 青山町,員数一基、時代:鎌倉,https://www.city.higashiomi.shiga.jp/_res/projects/default_project/_page_/001/003/141/r5.5.1kenzoubutsu.pdf,pdf,2026-07-12T00:00:00Z,JMH-252131-0001
滋賀県,東近江市,一弧素面宝篋印塔(2),有形文化財,建造物,市指定,1969-04-01,善勝寺 青山町,員数一基、時代:鎌倉,https://www.city.higashiomi.shiga.jp/_res/projects/default_project/_page_/001/003/141/r5.5.1kenzoubutsu.pdf,pdf,2026-07-12T00:00:00Z,JMH-252131-0002
滋賀県,東近江市,笠塔婆,有形文化財,建造物,市指定,1969-04-01,善勝寺 青山町,員数一基、時代:室町前期(1354),https://www.city.higashiomi.shiga.jp/_res/projects/default_project/_page_/001/003/141/r5.5.1kenzoubutsu.pdf,pdf,2026-07-12T00:00:00Z,JMH-252131-0014
滋賀県,東近江市,石造宝篋印塔,有形文化財,建造物,市指定,1969-04-05,正寿寺 柏木町,員数一基、時代:鎌倉,https://www.city.higashiomi.shiga.jp/_res/projects/default_project/_page_/001/003/141/r5.5.1kenzoubutsu.pdf,pdf,2026-07-12T00:00:00Z,JMH-252131-0018
滋賀県,東近江市,五輪塔,有形文化財,建造物,市指定,1971-10-26,大城神社 五個荘金堂町,員数一基、時代:鎌倉後期(1300),https://www.city.higashiomi.shiga.jp/_res/projects/default_project/_page_/001/003/141/r5.5.1kenzoubutsu.pdf,pdf,2026-07-12T00:00:00Z,JMH-252131-0025
滋賀県,東近江市,石造宝塔,有形文化財,建造物,市指定,1972-11-03,長勝寺 長勝寺町,員数一基、時代:鎌倉,https://www.city.higashiomi.shiga.jp/_res/projects/default_project/_page_/001/003/141/r5.5.1kenzoubutsu.pdf,pdf,2026-07-12T00:00:00Z,JMH-252131-0033
滋賀県,東近江市,宝篋印塔,有形文化財,建造物,市指定,1973-03-01,永昌寺 箕川町,員数一基、時代:南北朝,https://www.city.higashiomi.shiga.jp/_res/projects/default_project/_page_/001/003/141/r5.5.1kenzoubutsu.pdf,pdf,2026-07-12T00:00:00Z,JMH-252131-0034
滋賀県,東近江市,石造若宮神社層塔,有形文化財,建造物,市指定,1974-03-01,五個荘新堂町 五個荘新堂町,員数一基、時代:鎌倉,https://www.city.higashiomi.shiga.jp/_res/projects/default_project/_page_/001/003/141/r5.5.1kenzoubutsu.pdf,pdf,2026-07-12T00:00:00Z,JMH-252131-0046
滋賀県,東近江市,宝塔,有形文化財,建造物,市指定,1975-03-10,五個荘日吉町 五個荘日吉町,員数一基、時代:鎌倉,https://www.city.higashiomi.shiga.jp/_res/projects/default_project/_page_/001/003/141/r5.5.1kenzoubutsu.pdf,pdf,2026-07-12T00:00:00Z,JMH-252131-0047
滋賀県,東近江市,八幡神社層塔,有形文化財,建造物,市指定,1976-04-05,八幡神社 五個荘石塚町,員数一基、時代:鎌倉,https://www.city.higashiomi.shiga.jp/_res/projects/default_project/_page_/001/003/141/r5.5.1kenzoubutsu.pdf,pdf,2026-07-12T00:00:00Z,JMH-252131-0052
滋賀県,東近江市,石造宝塔,有形文化財,建造物,市指定,1977-01-31,河曲神社 五個荘河曲町,員数一基、時代:鎌倉後期(1331),https://www.city.higashiomi.shiga.jp/_res/projects/default_project/_page_/001/003/141/r5.5.1kenzoubutsu.pdf,pdf,2026-07-12T00:00:00Z,JMH-252131-0056
滋賀県,東近江市,石造宝篋印塔,有形文化財,建造物,市指定,1977-01-31,乾徳寺 五個荘川並町,員数一基、時代:鎌倉後期(1297),https://www.city.higashiomi.shiga.jp/_res/projects/default_project/_page_/001/003/141/r5.5.1kenzoubutsu.pdf,pdf,2026-07-12T00:00:00Z,JMH-252131-0057
滋賀県,東近江市,石造宝篋印塔,有形文化財,建造物,市指定,1987-10-02,曹源寺 愛東外町,員数一基、時代:鎌倉,https://www.city.higashiomi.shiga.jp/_res/projects/default_project/_page_/001/003/141/r5.5.1kenzoubutsu.pdf,pdf,2026-07-12T00:00:00Z,JMH-252131-0078
滋賀県,東近江市,石造宝塔,有形文化財,建造物,市指定,1987-10-02,曹源寺 愛東外町,員数一基、時代:鎌倉,https://www.city.higashiomi.shiga.jp/_res/projects/default_project/_page_/001/003/141/r5.5.1kenzoubutsu.pdf,pdf,2026-07-12T00:00:00Z,JMH-252131-0077
滋賀県,東近江市,旭野神社石造七重塔,有形文化財,建造物,市指定,1989-03-31,旭野神社 上麻生町,員数一基、時代:鎌倉後期(1329),https://www.city.higashiomi.shiga.jp/_res/projects/default_project/_page_/001/003/141/r5.5.1kenzoubutsu.pdf,pdf,2026-07-12T00:00:00Z,JMH-252131-0088
滋賀県,東近江市,吉善寺宝塔,有形文化財,建造物,市指定,1989-03-31,吉善寺 鈴町,員数一基、時代:鎌倉後期(1318),https://www.city.higashiomi.shiga.jp/_res/projects/default_project/_page_/001/003/141/r5.5.1kenzoubutsu.pdf,pdf,2026-07-12T00:00:00Z,JMH-252131-0087
滋賀県,東近江市,立善寺宝篋印塔,有形文化財,建造物,市指定,1989-03-31,立善寺 合戸町,員数一基、時代:鎌倉後期,https://www.city.higashiomi.shiga.jp/_res/projects/default_project/_page_/001/003/141/r5.5.1kenzoubutsu.pdf,pdf,2026-07-12T00:00:00Z,JMH-252131-0090
滋賀県,東近江市,石造宝篋印塔,有形文化財,建造物,市指定,1989-08-22,興福寺 五智町,員数一基、時代:鎌倉後期(1326),https://www.city.higashiomi.shiga.jp/_res/projects/default_project/_page_/001/003/141/r5.5.1kenzoubutsu.pdf,pdf,2026-07-12T00:00:00Z,JMH-252131-0094
滋賀県,東近江市,石造宝篋印塔,有形文化財,建造物,市指定,1989-08-22,妙法寺町 妙法寺町,員数一基、時代:鎌倉後期(1295),https://www.city.higashiomi.shiga.jp/_res/projects/default_project/_page_/001/003/141/r5.5.1kenzoubutsu.pdf,pdf,2026-07-12T00:00:00Z,JMH-252131-0095
滋賀県,東近江市,光明寺石造七重塔,有形文化財,建造物,市指定,1990-03-31,光明寺 蒲生堂町,員数二基、時代:鎌倉,https://www.city.higashiomi.shiga.jp/_res/projects/default_project/_page_/001/003/141/r5.5.1kenzoubutsu.pdf,pdf,2026-07-12T00:00:00Z,JMH-252131-0101
滋賀県,東近江市,石造宝篋印塔,有形文化財,建造物,市指定,1991-04-03,春日神社 小八木町,員数一基、時代:南北朝,https://www.city.higashiomi.shiga.jp/_res/projects/default_project/_page_/001/003/141/r5.5.1kenzoubutsu.pdf,pdf,2026-07-12T00:00:00Z,JMH-252131-0114
滋賀県,東近江市,石造宝篋印塔,有形文化財,建造物,市指定,1991-04-03,八幡神社 平柳町,員数一基、時代:南北朝,https://www.city.higashiomi.shiga.jp/_res/projects/default_project/_page_/001/003/141/r5.5.1kenzoubutsu.pdf,pdf,2026-07-12T00:00:00Z,JMH-252131-0115
滋賀県,東近江市,石造宝篋印塔(2),有形文化財,建造物,市指定,1991-04-03,八幡神社 平柳町,員数一基、時代:南北朝,https://www.city.higashiomi.shiga.jp/_res/projects/default_project/_page_/001/003/141/r5.5.1kenzoubutsu.pdf,pdf,2026-07-12T00:00:00Z,JMH-252131-0117
滋賀県,東近江市,石造宝篋印塔,有形文化財,建造物,市指定,1991-04-03,豊国神社 池庄町,員数一基、時代:鎌倉,https://www.city.higashiomi.shiga.jp/_res/projects/default_project/_page_/001/003/141/r5.5.1kenzoubutsu.pdf,pdf,2026-07-12T00:00:00Z,JMH-252131-0116
滋賀県,東近江市,宝篋印塔,有形文化財,建造物,市指定,1992-03-30,霊感寺 山上町,員数一基、時代:鎌倉,https://www.city.higashiomi.shiga.jp/_res/projects/default_project/_page_/001/003/141/r5.5.1kenzoubutsu.pdf,pdf,2026-07-12T00:00:00Z,JMH-252131-0122
滋賀県,東近江市,弘誓寺表門,有形文化財,建造物,市指定,1992-12-01,弘誓寺 五個荘金堂町,員数一棟、時代:江戸中期(1692),https://www.city.higashiomi.shiga.jp/_res/projects/default_project/_page_/001/003/141/r5.5.1kenzoubutsu.pdf,pdf,2026-07-12T00:00:00Z,JMH-252131-0126
滋賀県,東近江市,苗村神社天神宮・二ノ宮,有形文化財,建造物,市指定,1992-12-01,苗村神社 五個荘木流町,員数二棟、時代:江戸中期,https://www.city.higashiomi.shiga.jp/_res/projects/default_project/_page_/001/003/141/r5.5.1kenzoubutsu.pdf,pdf,2026-07-12T00:00:00Z,JMH-252131-0130
滋賀県,東近江市,弘誓寺表門(2),有形文化財,建造物,市指定,1994-10-27,弘誓寺 躰光寺町,員数一棟、時代:江戸,https://www.city.higashiomi.shiga.jp/_res/projects/default_project/_page_/001/003/141/r5.5.1kenzoubutsu.pdf,pdf,2026-07-12T00:00:00Z,JMH-252131-0134
滋賀県,東近江市,石造五輪塔,有形文化財,建造物,市指定,1994-12-01,極楽寺 大森町,員数一基、時代:南北朝,https://www.city.higashiomi.shiga.jp/_res/projects/default_project/_page_/001/003/141/r5.5.1kenzoubutsu.pdf,pdf,2026-07-12T00:00:00Z,JMH-252131-0135
滋賀県,東近江市,春日神社拝殿および境内社平井天神社本殿,有形文化財,建造物,市指定,1995-04-10,春日神社 小八木町,員数二棟、時代:江戸末期(1860)/室町,https://www.city.higashiomi.shiga.jp/_res/projects/default_project/_page_/001/003/141/r5.5.1kenzoubutsu.pdf,pdf,2026-07-12T00:00:00Z,JMH-252131-0136
滋賀県,東近江市,鹿島神社本殿,有形文化財,建造物,市指定,1998-10-15,鹿島神社 横溝町,員数一棟、時代:文化5年(1808),https://www.city.higashiomi.shiga.jp/_res/projects/default_project/_page_/001/003/141/r5.5.1kenzoubutsu.pdf,pdf,2026-07-12T00:00:00Z,JMH-252131-0149
滋賀県,東近江市,豊国神社本殿,有形文化財,建造物,市指定,1998-10-15,豊国神社 池庄町,員数一棟、時代:寛政2年(1790),https://www.city.higashiomi.shiga.jp/_res/projects/default_project/_page_/001/003/141/r5.5.1kenzoubutsu.pdf,pdf,2026-07-12T00:00:00Z,JMH-252131-0147
滋賀県,東近江市,八幡神社本殿,有形文化財,建造物,市指定,2000-02-10,八幡神社 中一色町,員数一棟、時代:寛永7年(1625),https://www.city.higashiomi.shiga.jp/_res/projects/default_project/_page_/001/003/141/r5.5.1kenzoubutsu.pdf,pdf,2026-07-12T00:00:00Z,JMH-252131-0155
滋賀県,東近江市,百済寺(総門・三所権現社・鐘楼),有形文化財,建造物,市指定,2002-11-07,百済寺 百済寺町他,員数三棟、時代:江戸,https://www.city.higashiomi.shiga.jp/_res/projects/default_project/_page_/001/003/141/r5.5.1kenzoubutsu.pdf,pdf,2026-07-12T00:00:00Z,JMH-252131-0160
滋賀県,東近江市,萬松園(旧市田庄兵衛家住宅),有形文化財,建造物,市指定,2005-01-13,五個荘北町屋町 五個荘北町屋町,員数二棟、時代:明治11・9年,https://www.city.higashiomi.shiga.jp/_res/projects/default_project/_page_/001/003/141/r5.5.1kenzoubutsu.pdf,pdf,2026-07-12T00:00:00Z,JMH-252131-0164
滋賀県,東近江市,龍田神社拝殿,有形文化財,建造物,市指定,2005-01-13,龍田神社 五個荘竜田町,員数一棟、時代:江戸後期(1830),https://www.city.higashiomi.shiga.jp/_res/projects/default_project/_page_/001/003/141/r5.5.1kenzoubutsu.pdf,pdf,2026-07-12T00:00:00Z,JMH-252131-0165
